person_id,station_id,personnum,personname,workshop,phone,jndj,gz,deptid,deptname
1,1,PERS-0001,Zhang Jiancheng,Machining Section 1,13800000001,MES_A,MES_MAKE,Piston Rod Assembly aviation manufacturing business record used for actuator quality traceability.,Piston Rod Assembly 001
2,2,PERS-0002,Li Hang,Precision Grinding Section,13800000002,MES_B,MES_BUY,Cylinder Barrel Assembly aviation manufacturing business record used for actuator quality traceabili,Cylinder Barrel Assembly 002
3,3,PERS-0003,Wang Lijun,Hydraulic Assembly Section,13800000003,MES_C,MES_ASSEMBLY,Front End Cap aviation manufacturing business record used for actuator quality traceability.,Front End Cap 003
4,4,PERS-0004,Zhao Min,Pressure Test Section,13800000004,MES_D,MES_SERVICE,Rear End Cap aviation manufacturing business record used for actuator quality traceability.,Rear End Cap 004
5,5,PERS-0005,Chen Gong,Final Inspection Section,13800000005,MES_A,MES_MAKE,Seal Ring Assembly aviation manufacturing business record used for actuator quality traceability.,Seal Ring Assembly 005
6,6,PERS-0006,Liu Xiaofeng,Repair Processing Section,13800000006,MES_B,MES_BUY,Trunnion Bushing aviation manufacturing business record used for actuator quality traceability.,Trunnion Bushing 006
7,7,PERS-0007,Zhou Qian,Machining Section 1,13800000007,MES_C,MES_ASSEMBLY,Spherical Bearing aviation manufacturing business record used for actuator quality traceability.,Spherical Bearing 007
8,8,PERS-0008,Huang Zhiqiang,Precision Grinding Section,13800000008,MES_D,MES_SERVICE,Throttle Connector aviation manufacturing business record used for actuator quality traceability.,Throttle Connector 008
9,9,PERS-0009,Sun Wei,Hydraulic Assembly Section,13800000009,MES_A,MES_MAKE,Displacement Sensor Bracket aviation manufacturing business record used for actuator quality traceab,Displacement Sensor Bracket 009
10,10,PERS-0010,Ma Rui,Pressure Test Section,13800000010,MES_B,MES_BUY,Locking Nut aviation manufacturing business record used for actuator quality traceability.,Locking Nut 010
11,11,PERS-0011,Zhang Jiancheng,Final Inspection Section,13800000011,MES_C,MES_ASSEMBLY,Piston Rod Assembly aviation manufacturing business record used for actuator quality traceability.,Piston Rod Assembly 011
12,12,PERS-0012,Li Hang,Repair Processing Section,13800000012,MES_D,MES_SERVICE,Cylinder Barrel Assembly aviation manufacturing business record used for actuator quality traceabili,Cylinder Barrel Assembly 012
13,13,PERS-0013,Wang Lijun,Machining Section 1,13800000013,MES_A,MES_MAKE,Front End Cap aviation manufacturing business record used for actuator quality traceability.,Front End Cap 013
14,14,PERS-0014,Zhao Min,Precision Grinding Section,13800000014,MES_B,MES_BUY,Rear End Cap aviation manufacturing business record used for actuator quality traceability.,Rear End Cap 014
15,15,PERS-0015,Chen Gong,Hydraulic Assembly Section,13800000015,MES_C,MES_ASSEMBLY,Seal Ring Assembly aviation manufacturing business record used for actuator quality traceability.,Seal Ring Assembly 015
16,16,PERS-0016,Liu Xiaofeng,Pressure Test Section,13800000016,MES_D,MES_SERVICE,Trunnion Bushing aviation manufacturing business record used for actuator quality traceability.,Trunnion Bushing 016
17,17,PERS-0017,Zhou Qian,Final Inspection Section,13800000017,MES_A,MES_MAKE,Spherical Bearing aviation manufacturing business record used for actuator quality traceability.,Spherical Bearing 017
18,18,PERS-0018,Huang Zhiqiang,Repair Processing Section,13800000018,MES_B,MES_BUY,Throttle Connector aviation manufacturing business record used for actuator quality traceability.,Throttle Connector 018
19,19,PERS-0019,Sun Wei,Machining Section 1,13800000019,MES_C,MES_ASSEMBLY,Displacement Sensor Bracket aviation manufacturing business record used for actuator quality traceab,Displacement Sensor Bracket 019
20,20,PERS-0020,Ma Rui,Precision Grinding Section,13800000020,MES_D,MES_SERVICE,Locking Nut aviation manufacturing business record used for actuator quality traceability.,Locking Nut 020
21,21,PERS-0021,Zhang Jiancheng,Hydraulic Assembly Section,13800000021,MES_A,MES_MAKE,Piston Rod Assembly aviation manufacturing business record used for actuator quality traceability.,Piston Rod Assembly 021
22,22,PERS-0022,Li Hang,Pressure Test Section,13800000022,MES_B,MES_BUY,Cylinder Barrel Assembly aviation manufacturing business record used for actuator quality traceabili,Cylinder Barrel Assembly 022
23,23,PERS-0023,Wang Lijun,Final Inspection Section,13800000023,MES_C,MES_ASSEMBLY,Front End Cap aviation manufacturing business record used for actuator quality traceability.,Front End Cap 023
24,24,PERS-0024,Zhao Min,Repair Processing Section,13800000024,MES_D,MES_SERVICE,Rear End Cap aviation manufacturing business record used for actuator quality traceability.,Rear End Cap 024
25,25,PERS-0025,Chen Gong,Machining Section 1,13800000025,MES_A,MES_MAKE,Seal Ring Assembly aviation manufacturing business record used for actuator quality traceability.,Seal Ring Assembly 025
26,26,PERS-0026,Liu Xiaofeng,Precision Grinding Section,13800000026,MES_B,MES_BUY,Trunnion Bushing aviation manufacturing business record used for actuator quality traceability.,Trunnion Bushing 026
27,27,PERS-0027,Zhou Qian,Hydraulic Assembly Section,13800000027,MES_C,MES_ASSEMBLY,Spherical Bearing aviation manufacturing business record used for actuator quality traceability.,Spherical Bearing 027
28,28,PERS-0028,Huang Zhiqiang,Pressure Test Section,13800000028,MES_D,MES_SERVICE,Throttle Connector aviation manufacturing business record used for actuator quality traceability.,Throttle Connector 028
29,29,PERS-0029,Sun Wei,Final Inspection Section,13800000029,MES_A,MES_MAKE,Displacement Sensor Bracket aviation manufacturing business record used for actuator quality traceab,Displacement Sensor Bracket 029
30,30,PERS-0030,Ma Rui,Repair Processing Section,13800000030,MES_B,MES_BUY,Locking Nut aviation manufacturing business record used for actuator quality traceability.,Locking Nut 030
31,31,PERS-0031,Zhang Jiancheng,Machining Section 1,13800000031,MES_C,MES_ASSEMBLY,Piston Rod Assembly aviation manufacturing business record used for actuator quality traceability.,Piston Rod Assembly 031
32,32,PERS-0032,Li Hang,Precision Grinding Section,13800000032,MES_D,MES_SERVICE,Cylinder Barrel Assembly aviation manufacturing business record used for actuator quality traceabili,Cylinder Barrel Assembly 032
33,33,PERS-0033,Wang Lijun,Hydraulic Assembly Section,13800000033,MES_A,MES_MAKE,Front End Cap aviation manufacturing business record used for actuator quality traceability.,Front End Cap 033
34,34,PERS-0034,Zhao Min,Pressure Test Section,13800000034,MES_B,MES_BUY,Rear End Cap aviation manufacturing business record used for actuator quality traceability.,Rear End Cap 034
35,35,PERS-0035,Chen Gong,Final Inspection Section,13800000035,MES_C,MES_ASSEMBLY,Seal Ring Assembly aviation manufacturing business record used for actuator quality traceability.,Seal Ring Assembly 035
36,36,PERS-0036,Liu Xiaofeng,Repair Processing Section,13800000036,MES_D,MES_SERVICE,Trunnion Bushing aviation manufacturing business record used for actuator quality traceability.,Trunnion Bushing 036
37,37,PERS-0037,Zhou Qian,Machining Section 1,13800000037,MES_A,MES_MAKE,Spherical Bearing aviation manufacturing business record used for actuator quality traceability.,Spherical Bearing 037
38,38,PERS-0038,Huang Zhiqiang,Precision Grinding Section,13800000038,MES_B,MES_BUY,Throttle Connector aviation manufacturing business record used for actuator quality traceability.,Throttle Connector 038
39,39,PERS-0039,Sun Wei,Hydraulic Assembly Section,13800000039,MES_C,MES_ASSEMBLY,Displacement Sensor Bracket aviation manufacturing business record used for actuator quality traceab,Displacement Sensor Bracket 039
40,40,PERS-0040,Ma Rui,Pressure Test Section,13800000040,MES_D,MES_SERVICE,Locking Nut aviation manufacturing business record used for actuator quality traceability.,Locking Nut 040
41,41,PERS-0041,Zhang Jiancheng,Final Inspection Section,13800000041,MES_A,MES_MAKE,Piston Rod Assembly aviation manufacturing business record used for actuator quality traceability.,Piston Rod Assembly 041
42,42,PERS-0042,Li Hang,Repair Processing Section,13800000042,MES_B,MES_BUY,Cylinder Barrel Assembly aviation manufacturing business record used for actuator quality traceabili,Cylinder Barrel Assembly 042
43,43,PERS-0043,Wang Lijun,Machining Section 1,13800000043,MES_C,MES_ASSEMBLY,Front End Cap aviation manufacturing business record used for actuator quality traceability.,Front End Cap 043
44,44,PERS-0044,Zhao Min,Precision Grinding Section,13800000044,MES_D,MES_SERVICE,Rear End Cap aviation manufacturing business record used for actuator quality traceability.,Rear End Cap 044
45,45,PERS-0045,Chen Gong,Hydraulic Assembly Section,13800000045,MES_A,MES_MAKE,Seal Ring Assembly aviation manufacturing business record used for actuator quality traceability.,Seal Ring Assembly 045
46,46,PERS-0046,Liu Xiaofeng,Pressure Test Section,13800000046,MES_B,MES_BUY,Trunnion Bushing aviation manufacturing business record used for actuator quality traceability.,Trunnion Bushing 046
47,47,PERS-0047,Zhou Qian,Final Inspection Section,13800000047,MES_C,MES_ASSEMBLY,Spherical Bearing aviation manufacturing business record used for actuator quality traceability.,Spherical Bearing 047
48,48,PERS-0048,Huang Zhiqiang,Repair Processing Section,13800000048,MES_D,MES_SERVICE,Throttle Connector aviation manufacturing business record used for actuator quality traceability.,Throttle Connector 048
49,49,PERS-0049,Sun Wei,Machining Section 1,13800000049,MES_A,MES_MAKE,Displacement Sensor Bracket aviation manufacturing business record used for actuator quality traceab,Displacement Sensor Bracket 049
50,50,PERS-0050,Ma Rui,Precision Grinding Section,13800000050,MES_B,MES_BUY,Locking Nut aviation manufacturing business record used for actuator quality traceability.,Locking Nut 050
51,51,PERS-0051,Zhang Jiancheng,Hydraulic Assembly Section,13800000051,MES_C,MES_ASSEMBLY,Piston Rod Assembly aviation manufacturing business record used for actuator quality traceability.,Piston Rod Assembly 051
52,52,PERS-0052,Li Hang,Pressure Test Section,13800000052,MES_D,MES_SERVICE,Cylinder Barrel Assembly aviation manufacturing business record used for actuator quality traceabili,Cylinder Barrel Assembly 052
53,53,PERS-0053,Wang Lijun,Final Inspection Section,13800000053,MES_A,MES_MAKE,Front End Cap aviation manufacturing business record used for actuator quality traceability.,Front End Cap 053
54,54,PERS-0054,Zhao Min,Repair Processing Section,13800000054,MES_B,MES_BUY,Rear End Cap aviation manufacturing business record used for actuator quality traceability.,Rear End Cap 054
55,55,PERS-0055,Chen Gong,Machining Section 1,13800000055,MES_C,MES_ASSEMBLY,Seal Ring Assembly aviation manufacturing business record used for actuator quality traceability.,Seal Ring Assembly 055
56,56,PERS-0056,Liu Xiaofeng,Precision Grinding Section,13800000056,MES_D,MES_SERVICE,Trunnion Bushing aviation manufacturing business record used for actuator quality traceability.,Trunnion Bushing 056
57,57,PERS-0057,Zhou Qian,Hydraulic Assembly Section,13800000057,MES_A,MES_MAKE,Spherical Bearing aviation manufacturing business record used for actuator quality traceability.,Spherical Bearing 057
58,58,PERS-0058,Huang Zhiqiang,Pressure Test Section,13800000058,MES_B,MES_BUY,Throttle Connector aviation manufacturing business record used for actuator quality traceability.,Throttle Connector 058
59,59,PERS-0059,Sun Wei,Final Inspection Section,13800000059,MES_C,MES_ASSEMBLY,Displacement Sensor Bracket aviation manufacturing business record used for actuator quality traceab,Displacement Sensor Bracket 059
60,60,PERS-0060,Ma Rui,Repair Processing Section,13800000060,MES_D,MES_SERVICE,Locking Nut aviation manufacturing business record used for actuator quality traceability.,Locking Nut 060
61,61,PERS-0061,Zhang Jiancheng,Machining Section 1,13800000061,MES_A,MES_MAKE,Piston Rod Assembly aviation manufacturing business record used for actuator quality traceability.,Piston Rod Assembly 061
62,62,PERS-0062,Li Hang,Precision Grinding Section,13800000062,MES_B,MES_BUY,Cylinder Barrel Assembly aviation manufacturing business record used for actuator quality traceabili,Cylinder Barrel Assembly 062
63,63,PERS-0063,Wang Lijun,Hydraulic Assembly Section,13800000063,MES_C,MES_ASSEMBLY,Front End Cap aviation manufacturing business record used for actuator quality traceability.,Front End Cap 063
